
06.06.2024 22:32:56 chat: 512488094, user: awerpool, text: no text
06.06.2024 22:33:04 chat: 512488094, user: awerpool, text: Треск
06.06.2024 22:33:07 chat: 512488094, user: awerpool, text: Опп
06.06.2024 22:33:10 chat: 512488094, user: awerpool, text: Олл
06.06.2024 22:35:21 chat: 918595645, user: alishalebedeva, text: /start
06.06.2024 22:35:36 chat: 918595645, user: alishalebedeva, text: no text
08.06.2024 15:06:16 chat: 24983876, user: Mauricio_loo, text: /start
08.06.2024 15:06:30 chat: unknown, user: unknown, text: no text
08.06.2024 15:06:36 chat: unknown, user: unknown, text: no text
08.06.2024 15:06:38 chat: unknown, user: unknown, text: no text
08.06.2024 15:06:40 chat: unknown, user: unknown, text: no text
08.06.2024 15:06:42 chat: unknown, user: unknown, text: no text
08.06.2024 15:07:39 chat: unknown, user: unknown, text: no text
08.06.2024 15:07:46 chat: unknown, user: unknown, text: no text
08.06.2024 15:07:48 chat: unknown, user: unknown, text: no text
